epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.7940477728843689,0.9311776161193848,0.7282413840293884,0.49975350499153137,0.8136444091796875,0.7698756456375122,0.8248113989830017,0.9503198266029358,0.7766631841659546,0.4239518344402313,0.8338329792022705,0.816010057926178
1,0.8341484069824219,0.9521535038948059,0.7847475409507751,0.4157447814941406,0.844390332698822,0.8233897089958191,0.8269069790840149,0.9516629576683044,0.773479163646698,0.41772428154945374,0.8328345417976379,0.8164291977882385
2,0.8412742614746094,0.9575020670890808,0.795303463935852,0.3918660879135132,0.8516712188720703,0.8295375108718872,0.8319362998008728,0.9544858336448669,0.7777999639511108,0.4100171625614166,0.8343921899795532,0.825649619102478
3,0.8506357669830322,0.9613903760910034,0.8076168894767761,0.3734356462955475,0.8597369194030762,0.8401564955711365,0.8323553800582886,0.9569560289382935,0.7930922508239746,0.3922034502029419,0.8415883779525757,0.8260687589645386
4,0.8538493514060974,0.9653165340423584,0.8114387392997742,0.3543282747268677,0.8649421334266663,0.8456056714057922,0.8503772020339966,0.9615848064422607,0.8089526891708374,0.3760855495929718,0.8575074672698975,0.8449287414550781
5,0.8625122308731079,0.9672991633415222,0.8217939138412476,0.3419116735458374,0.8708571195602417,0.8517535328865051,0.8478625416755676,0.9608259797096252,0.8090968132019043,0.3770272731781006,0.858486533164978,0.8415758609771729
6,0.8660053014755249,0.969191312789917,0.8279716372489929,0.3317926228046417,0.8735402822494507,0.8570629954338074,0.8491198420524597,0.9595068097114563,0.8121119737625122,0.3827562928199768,0.8561673164367676,0.8407376408576965
7,0.8687998056411743,0.9710701704025269,0.8325266242027283,0.3216908276081085,0.8769670724868774,0.8565041422843933,0.843671441078186,0.9599837064743042,0.7999893426895142,0.3850119709968567,0.8529790043830872,0.834031879901886
8,0.8879418969154358,0.9780108332633972,0.8566531538963318,0.28081101179122925,0.894318163394928,0.8796982169151306,0.8528918623924255,0.9630331993103027,0.8109471201896667,0.3695801794528961,0.8592687249183655,0.8470243215560913
9,0.896185576915741,0.9806026816368103,0.8666130304336548,0.26425284147262573,0.9042341709136963,0.8891993761062622,0.8524727821350098,0.9642333388328552,0.8118698596954346,0.3682858645915985,0.8592687249183655,0.8470243215560913
10,0.8995389342308044,0.9819504618644714,0.8712341785430908,0.25394412875175476,0.9053153991699219,0.8924130201339722,0.8566638827323914,0.9634869694709778,0.8184473514556885,0.3711956739425659,0.864703357219696,0.8491198420524597
11,0.8960458040237427,0.982576847076416,0.867123007774353,0.24939829111099243,0.9035460948944092,0.8900377154350281,0.8495389819145203,0.963072657585144,0.8095466494560242,0.3734278082847595,0.8562313914299011,0.843671441078186
12,0.9041497707366943,0.9839392304420471,0.8776737451553345,0.24051329493522644,0.9101855754852295,0.8977224826812744,0.8528918623924255,0.9633099436759949,0.8122870922088623,0.3749319911003113,0.8590831756591797,0.8482816219329834
13,0.9076428413391113,0.9850661754608154,0.8812980055809021,0.23235273361206055,0.9136344194412231,0.9016347527503967,0.8520536422729492,0.9633387327194214,0.813618540763855,0.37525442242622375,0.8574458956718445,0.8470243215560913
14,0.9076428413391113,0.9852336645126343,0.883002519607544,0.23033539950847626,0.914374828338623,0.9012156128883362,0.8524727821350098,0.9632893800735474,0.8141382932662964,0.3761930763721466,0.8600595593452454,0.8474434018135071
