epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.8418331742286682,0.9530582427978516,0.7873080968856812,0.4317722022533417,0.8887102007865906,0.7721112370491028,0.8977367877960205,0.9783474802970886,0.8674707412719727,0.2808033525943756,0.9066780805587769,0.8876781463623047
1,0.8987005949020386,0.9792431592941284,0.8688365817070007,0.27255013585090637,0.906352162361145,0.8911555409431458,0.8977367877960205,0.9796984791755676,0.8680195808410645,0.27316156029701233,0.9016532301902771,0.8914501070976257
2,0.9100181460380554,0.9828013777732849,0.8827930688858032,0.24639134109020233,0.9178977012634277,0.9028922915458679,0.9023470282554626,0.9806761741638184,0.8756356239318848,0.2693738639354706,0.9061969518661499,0.8948030471801758
3,0.9184015393257141,0.9856985807418823,0.8945409655570984,0.22371827065944672,0.9232729077339172,0.9112756848335266,0.9002514481544495,0.980685830116272,0.8717014789581299,0.27107715606689453,0.9052854180335999,0.8973177075386047
4,0.9263657927513123,0.9880891442298889,0.9038721919059753,0.20416958630084991,0.9311952590942383,0.9209165573120117,0.9002514481544495,0.9813665151596069,0.8730919361114502,0.2648754417896271,0.9059974551200867,0.8927074670791626
5,0.9358670115470886,0.9903308153152466,0.9168955683708191,0.18200916051864624,0.9412513971328735,0.9290205240249634,0.9010896682739258,0.9802029132843018,0.8738059401512146,0.27601680159568787,0.9054054021835327,0.8985750079154968
6,0.9417353868484497,0.9919565916061401,0.9235698580741882,0.1649342030286789,0.9470862150192261,0.9378231167793274,0.9010896682739258,0.9798762798309326,0.8725312948226929,0.2792912423610687,0.9046609997749329,0.8948030471801758
7,0.9460667967796326,0.9933764338493347,0.9293419718742371,0.15131473541259766,0.9497955441474915,0.9410367608070374,0.898155927658081,0.9791359901428223,0.8684028387069702,0.29751089215278625,0.9009274840354919,0.8956412672996521
8,0.95961993932724,0.9957663416862488,0.9465209245681763,0.12022452801465988,0.9622960090637207,0.9557076692581177,0.90067058801651,0.9796146154403687,0.8720726370811462,0.2920083701610565,0.9038785696029663,0.8985750079154968
9,0.9653486013412476,0.99653559923172,0.9540461897850037,0.10864987224340439,0.9679459929466248,0.9619952440261841,0.9019278883934021,0.9793592691421509,0.8742985725402832,0.2966884970664978,0.904219388961792,0.898155927658081
